"plot_quad","SLA","root.shoot","RootLength.cm","RootAvgDiam.mm","finerootV.totalrootV","height","N.perc","vegtype","plot","plotno"
"ARAR01_C.1",0.229181584574076,0.582364636570387,-1.20790498933038,3.61585053410633,-4.51771632393937,-0.136565111319585,0.276632509357284,"ARAR","ARAR01","01"
"ARAR01_C.2",0.0641408046319774,-0.126753731261785,0.834179990083664,-0.272551724546902,0.314860983409912,0.352423725628537,-0.182583495531121,"ARAR","ARAR01","01"
"ARAR01_C.3",-0.26472544260773,0.310638020333858,1.12524722147239,-0.243591424562976,0.272648930946919,0.387851854916568,0.03024311379448,"ARAR","ARAR01","01"
"ARAR01_C.4",-1.28173427419223,0.866045705001435,-0.456161021521321,1.94108405942448,-2.12533637076071,-0.366193856266211,0.576965574657942,"ARAR","ARAR01","01"
"ARAR01_C.5",-0.349980228040805,0.303217996864386,0.747248164788437,-0.281742985492013,-0.106416078520593,0.289215757279966,-0.320557628669495,"ARAR","ARAR01","01"
"ARAR01_C.6",-0.0431926952052094,0.230189252971734,1.11173002408755,-0.5376402194425,0.394761565468298,0.465726723906391,-0.314198996176098,"ARAR","ARAR01","01"
"ARAR01_C.7",-1.99219027581527,0.289018084141307,-1.02647881294456,1.89279931991001,-1.74419729807764,-0.823084600327143,0.491981353050954,"ARAR","ARAR01","01"
"ARAR01_CC1",-0.593791931777703,0.642853564933277,0.496415896877626,0.547730626977353,-0.816437322904404,-0.107941796381895,0.102110165760205,"ARAR","ARAR01","01"
"ARAR01_CC2",-0.894228355484333,0.446895500614786,-0.426498603113254,1.84466276930763,-1.70045481595413,-0.432088410983151,0.707019313085062,"ARAR","ARAR01","01"
"ARAR01_CC3",-0.971744230317222,0.655986972441017,0.109759282621508,1.05223168511032,-1.3247565432793,-0.253052347556051,0.181670877134589,"ARAR","ARAR01","01"
"ARAR02_C.1",-0.744514311892156,0.261801992217486,0.785859592811712,-0.615537173837495,0.225333763251551,0.216991146579858,-0.462404922118454,"ARAR","ARAR02","02"
"ARAR02_C.2",1.26962501832109,-1.72429644645365,-1.07124505442322,-1.12436124810688,1.23739115115056,0.113139429393449,-0.902203624550334,"ARAR","ARAR02","02"
"ARAR02_C.3",-0.656389979426632,0.639133502049691,1.19427851716472,-0.580196250482822,0.00761322003386572,0.361375803754878,-0.495156038231791,"ARAR","ARAR02","02"
"ARAR02_C.4",0.75257247129375,-0.528282440553614,1.19208584870637,-0.853147216234812,0.701782176552808,0.751683464806319,-0.810085053575407,"ARAR","ARAR02","02"
"ARAR02_C.5",-0.407711701339498,0.646607457217013,1.22109418100918,-0.558101453926121,-0.13466076625526,0.465494490017772,-0.553812131963488,"ARAR","ARAR02","02"
"ARAR02_C.6",1.63737943739808,-1.95123931669515,0.514870185991632,-1.19482506917431,1.42195766002172,0.799287278297944,-1.14380201191388,"ARAR","ARAR02","02"
"ARAR02_C.7",0.54515774393461,-2.20960231856379,-1.08542126489668,-1.43044763109561,1.26934190816915,1.1761210466326,-1.07971827283584,"ARAR","ARAR02","02"
"ARAR02_CC1",-0.223393476984955,0.294521928648863,1.03702737903545,-0.508300472353841,0.203067283825985,0.454315802222272,-0.303458800224841,"ARAR","ARAR02","02"
"ARAR02_CC2",-0.587078472165743,0.861458317143499,1.38835222321856,-0.519099628092312,0.0122728671149924,1.26116518067321,-0.348418660156674,"ARAR","ARAR02","02"
"ARAR02_CC3",-0.721080803539917,0.554934421078507,0.988040158320715,-0.459671561820602,0.41624685678745,2.83499280045628,-0.067305697795791,"ARAR","ARAR02","02"
"ARAR03_C.1",-0.372847620732854,0.68997681619417,1.02470630856203,-0.180509420330073,-0.508396254561406,0.230951639728575,-0.447671925158739,"ARAR","ARAR03","03"
"ARAR03_C.2",-0.640452125231073,0.820184043224086,1.29235222482276,-0.473147367997672,0.149444111962411,1.90125181124501,-0.199332316282432,"ARAR","ARAR03","03"
"ARAR03_C.3",-0.761816672652367,1.04094378300899,1.44292750539323,-0.370778230499218,0.127163920777885,2.33039131783045,-0.0667216394356336,"ARAR","ARAR03","03"
"ARAR03_C.4",-0.538612314181834,0.871340479337853,1.43631475846447,-0.570523865443164,-0.115758858240552,0.338970673783188,-0.493963286420938,"ARAR","ARAR03","03"
"ARAR03_C.5",0.423812737767125,-0.185342884321155,1.22914965396536,-0.804268271263492,0.468529787058424,0.550660093659088,-0.765721394248932,"ARAR","ARAR03","03"
"ARAR03_C.6",-0.189896036314751,0.486056828811383,0.98282634845221,-0.555441091254629,0.140619247845364,0.0716459898691178,-0.329468368880211,"ARAR","ARAR03","03"
"ARAR03_C.7",-0.395060922257506,0.868185315112566,1.38758134995529,-0.562516862739646,-0.106529283450598,0.236573536710405,-0.435348325585744,"ARAR","ARAR03","03"
"ARAR03_CC1",-0.356623560505219,0.26843312594579,1.04014948524701,-0.267312605260517,0.29690942529323,0.333155972732685,0.00406616271039601,"ARAR","ARAR03","03"
"ARAR03_CC2",-0.231063713315566,0.570412731175948,0.968974311500584,-0.269395162845764,-0.390238000004316,0.352918859551177,-0.457728498854347,"ARAR","ARAR03","03"
"ARAR03_CC3",-0.43890132684822,0.788102675707397,1.33894090479879,-0.575186178766669,-0.0604468337993132,0.167234837268941,-0.431743059669084,"ARAR","ARAR03","03"
"ARAR04_C.1",0.236302264084576,-0.918887736504585,0.0763823544470974,-0.734259860701292,0.788015860958321,0.724827225470218,-0.377699294760671,"ARAR","ARAR04","04"
"ARAR04_C.2",0.107787482801439,-0.545519953858893,0.353293187535108,-0.0929704943967033,0.487125722560881,0.520598316510698,0.148035256482475,"ARAR","ARAR04","04"
"ARAR04_C.3",-0.536641146109707,-0.157260060380501,0.0750588675468117,-0.171952779462689,-0.223761744329137,0.394419781766175,-0.445542592745289,"ARAR","ARAR04","04"
"ARAR04_C.4",-0.622354933441556,0.314872701972618,0.902977392368477,-0.489317643336869,0.235739895163625,0.344083660024425,-0.299751967085531,"ARAR","ARAR04","04"
"ARAR04_C.5",0.250658638821659,-1.48957806790252,-0.588863076799717,-1.2257827509873,0.963156286251064,0.842800056343627,-0.925026336727966,"ARAR","ARAR04","04"
"ARAR04_C.6",0.750271478514935,-0.933397821788691,0.288201549490645,0.100393547391884,-0.0354536677391921,0.322220939588471,-0.558305161329403,"ARAR","ARAR04","04"
"ARAR04_C.7",-0.874951250271456,0.934946741726311,1.04931336542689,0.0461258224961831,-0.327048264651145,1.65334854822372,-0.0178256187159797,"ARAR","ARAR04","04"
"ARAR04_CC1",0.0562773394163573,-1.29249961490843,-0.467982478044001,-0.864066085885497,0.751285800640541,0.798437909033087,-0.677424787418297,"ARAR","ARAR04","04"
"ARAR04_CC2",-0.493028756241527,0.00617677115431488,0.739082341788367,-0.348392203440117,0.42247742892593,0.343173903605966,-0.0831361052958748,"ARAR","ARAR04","04"
