"plot_quad","SLA","root.shoot","RootLength.cm","RootAvgDiam.mm","finerootV.totalrootV","height","N.perc","vegtype","plot","plotno"
"ARAR01_C.1",0.18680716335772,0.578921803386265,-1.19164041049709,3.4096878358097,-4.18514459396064,-0.0775196887768287,0.236195103911512,"ARAR","ARAR01","01"
"ARAR01_C.2",0.0333759851864302,-0.107650256562932,0.83529907964925,-0.279934862573021,0.2939292939096,0.394876531484051,-0.179617517238192,"ARAR","ARAR01","01"
"ARAR01_C.3",-0.272356548266584,0.315834692523707,1.12420755874627,-0.252455046169027,0.254805056486049,0.42910249555929,0.0130935148949056,"ARAR","ARAR01","01"
"ARAR01_C.4",-1.21782507607747,0.853583276500709,-0.445471886565874,1.82053733428294,-1.96776742715348,-0.299356554937322,0.508141808231932,"ARAR","ARAR01","01"
"ARAR01_C.5",-0.351614184944781,0.308650587542926,0.749011999817754,-0.288656255771055,-0.0965313169909264,0.333813367906347,-0.304550850006216,"ARAR","ARAR01","01"
"ARAR01_C.6",-0.0664072644022179,0.237943781169879,1.11079061407862,-0.531471731133959,0.367985141951409,0.504334875082929,-0.298793211736074,"ARAR","ARAR01","01"
"ARAR01_C.7",-1.87830487631915,0.294902158829696,-1.01155981386677,1.77472096574709,-1.61450870835231,-0.740743851043354,0.431189978229064,"ARAR","ARAR01","01"
"ARAR02_C.1",-0.718395227395505,0.26855139830289,0.787337059264485,-0.605386504337028,0.210950997120618,0.264039519248603,-0.43299126642057,"ARAR","ARAR02","02"
"ARAR02_C.2",1.1540618134896,-1.65439935034145,-1.05599403849173,-1.08819891134302,1.14897630553541,0.163711751087985,-0.831221836108312,"ARAR","ARAR02","02"
"ARAR02_C.3",-0.636469898634411,0.63388571164358,1.1927268714611,-0.571852249309523,0.00915672918491172,0.40352484316486,-0.462646869212495,"ARAR","ARAR02","02"
"ARAR02_C.4",0.673380726701817,-0.496412423181183,1.19055046532139,-0.830849650245308,0.652547170592993,0.780588387131052,-0.747809968826035,"ARAR","ARAR02","02"
"ARAR02_C.5",-0.405284604879118,0.641122033572292,1.2193436521283,-0.550886963963765,-0.122709903541627,0.504110521472149,-0.515759007773316,"ARAR","ARAR02","02"
"ARAR02_C.6",1.49594697554759,-1.87412660742663,0.518357493951507,-1.1550605414757,1.32004175940884,0.826576883931508,-1.04998524514845,"ARAR","ARAR02","02"
"ARAR02_C.7",0.480556347176015,-2.12427499795542,-1.07006510855931,-1.37863780917768,1.17858986210325,1.19062373812757,-0.991958462032316,"ARAR","ARAR02","02"
"ARAR03_C.1",-0.372872997486006,0.683112470546377,1.02441232553719,-0.192597865971367,-0.469106610759683,0.277526297878544,-0.419650777374029,"ARAR","ARAR03","03"
"ARAR03_C.2",-0.62165317426117,0.809179779105165,1.29007319788783,-0.470275827843675,0.140612679939054,1.89114899865438,-0.194783301931305,"ARAR","ARAR03","03"
